cons_name,annual_mm,aug_break,centroid_lat,centroid_lon,region_2019,k5,zone5,zone3
Salaga North,1119.6815007392431,0.2638906306424992,8.946236049532043,-0.5957536225453686,Savannah,4,Guinea Savannah,Northern (unimodal)
Salaga South,1060.2436776715388,0.348925079488211,8.341055766873032,-0.760384757842525,Savannah,4,Guinea Savannah,Northern (unimodal)
Savelugu,1000.4805583469139,-0.3563305772838254,9.837590372448307,-0.8655494501760805,Northern,4,Guinea Savannah,Northern (unimodal)
Sawla Tuna Kalba,986.1736857153815,-0.44437581511879104,9.525689174863112,-2.268943079510206,Savannah,4,Guinea Savannah,Northern (unimodal)
Sefwi Akontonbra,1528.335457644902,0.9472823153586659,6.071225503696151,-2.662759284449673,Western North,3,Forest,Southern (bimodal)
Sefwi Wiawso,1435.2295625073211,0.8577377717866776,6.336331634472234,-2.548698973362008,Western North,3,Forest,Southern (bimodal)
Sege,844.4140423124468,0.8864771281809497,5.885746401343051,0.4160429109939916,Greater Accra,2,Coastal,Southern (bimodal)
Sekondi,1258.658077222257,1.148658469953433,4.948064661653819,-1.7799978735796878,Western,2,Coastal,Southern (bimodal)
Sekyere Afram Plains,1231.1421875145472,0.9529577854875042,6.981518079750891,-1.6319068422380565,Ashanti,0,Transition,Transition (middle belt)
Sene East,1263.159684207697,0.5699342803892435,7.61721709927619,-0.1755132682584889,Bono East,4,Guinea Savannah,Northern (unimodal)
Sene West,1222.312603491069,0.6286191958277978,7.760016505666631,-0.5818394163361867,Bono East,4,Guinea Savannah,Northern (unimodal)
Shai Osudoku,983.2611812852322,0.8791889556304728,5.948377182844383,0.1085602517931275,Greater Accra,3,Forest,Southern (bimodal)
Shama,1359.446241117579,1.1369901544398935,5.036531138019117,-1.6911564494092424,Western,2,Coastal,Southern (bimodal)
Sissala East,1033.9489536802187,-1.3009956232117705,10.594859392045288,-1.874783613478484,Upper West,1,Sudan Savannah,Northern (unimodal)
Sissala West,1033.8140102125358,-1.4199267207982085,10.770304257564662,-2.324052801592861,Upper West,1,Sudan Savannah,Northern (unimodal)
South Dayi,1247.395104302891,0.9447977151899177,6.613531277181372,0.2034362301571873,Volta,0,Transition,Transition (middle belt)
South Tongu,935.4298341209915,1.0131307345799916,5.938773512756642,0.6370475052899586,Volta,2,Coastal,Southern (bimodal)
Suaman,1596.1945035640524,0.9896427242808553,5.927033944084121,-3.003749705619417,Western North,3,Forest,Southern (bimodal)
Suame,1320.0419895150621,1.037101140088728,6.733928970968752,-1.6613248401705092,Ashanti,0,Transition,Transition (middle belt)
Subin,1247.8221944509032,0.929944732230056,6.693260144959994,-1.6228656829331691,Ashanti,0,Transition,Transition (middle belt)
Suhum,1377.0796281235723,0.9900065889992147,6.046271292692586,-0.4184535418555338,Eastern,3,Forest,Southern (bimodal)
Sunyani East,1067.5198674182516,0.8215928233047057,7.290329025671206,-2.279808858192631,Bono,0,Transition,Transition (middle belt)
Sunyani West,1065.8724016315066,0.8289670798899255,7.375360824557934,-2.372857886050985,Bono,0,Transition,Transition (middle belt)
Tain,1050.9005579063282,0.7201888405332634,7.871690600262813,-2.3546720842154256,Bono,0,Transition,Transition (middle belt)
Takoradi,1067.1304169301327,1.0784912132445212,4.888932749703355,-1.767475291145396,Western,2,Coastal,Southern (bimodal)
Talensi,993.664893230476,-0.9380904253556638,10.635031168672048,-0.7706023149108692,Upper East,1,Sudan Savannah,Northern (unimodal)
Tamale Central,1048.12145546944,-0.11028306305859108,9.399576384721106,-0.836971495611846,Northern,4,Guinea Savannah,Northern (unimodal)
Tamale North,1036.2681446876277,-0.12197528272486065,9.454422081791298,-0.8881538560358855,Northern,4,Guinea Savannah,Northern (unimodal)
Tamale South,1029.2884156942987,-0.039135351813367775,9.352610055446249,-0.8051271328256558,Northern,4,Guinea Savannah,Northern (unimodal)
Tano North,1128.2287172711074,0.8733622454825702,7.237423376662884,-2.072491743413006,Ahafo,0,Transition,Transition (middle belt)
Tano South,1174.316535445363,0.8962886374638436,7.136375291244861,-2.147595169959605,Ahafo,0,Transition,Transition (middle belt)
Tarkwa Nsuaem,1534.479429516529,0.9503461645179776,5.16187323333797,-2.018792983138374,Western,3,Forest,Southern (bimodal)
Tatale Sanguli,1305.7315826032072,0.30541152653458115,9.039041660213634,0.3373522572946346,Northern,4,Guinea Savannah,Northern (unimodal)
Techiman North,1134.881146925837,0.7704099187567737,7.758491043810462,-1.955414712183984,Bono East,0,Transition,Transition (middle belt)
Techiman South,1127.445741186851,0.8246299295801797,7.528270011756557,-1.963366801199967,Bono East,0,Transition,Transition (middle belt)
Tema Central,761.1494875968287,0.8657299256717634,5.647686766763304,-0.0238374702497164,Greater Accra,2,Coastal,Southern (bimodal)
Tema East,791.2237385067161,0.7492028299740612,5.668425035614335,0.0162441459003621,Greater Accra,2,Coastal,Southern (bimodal)
Tema West,777.6575318376517,0.9558334925921441,5.636701679647935,-0.0733756904724214,Greater Accra,2,Coastal,Southern (bimodal)
Tempane,945.0831149738899,-1.0496707121056144,10.732746282266913,-0.296553920744235,Upper East,1,Sudan Savannah,Northern (unimodal)
Tolon,976.5019655145301,-0.23623325586697477,9.505115241624974,-1.1422765199863842,Northern,4,Guinea Savannah,Northern (unimodal)
Trobu,998.8981817425563,0.9986836120742933,5.646021378136295,-0.3255579413069739,Greater Accra,2,Coastal,Southern (bimodal)
Twifo Ati Morkwaa,1492.59246672492,0.9274445252460123,5.58143426435855,-1.630048375238917,Central,3,Forest,Southern (bimodal)
Upper Denkyira East,1453.8726823027441,0.8605908812522043,5.804744154269651,-1.737328569074674,Central,3,Forest,Southern (bimodal)
Upper Denkyira West,1444.7277821078194,0.8898941967434958,6.098773554346596,-1.995368341313152,Central,3,Forest,Southern (bimodal)
Upper Manya Krobo,1221.6247521134396,0.9190223535079625,6.389141497350686,-0.1510205026109812,Eastern,3,Forest,Southern (bimodal)
Upper West Akim,1326.0151306040314,0.9856815226460499,5.788606224015403,-0.5693618475824679,Eastern,3,Forest,Southern (bimodal)
Wa Central,989.0997395324418,-0.674999423768523,10.025786666758956,-2.428462200644433,Upper West,1,Sudan Savannah,Northern (unimodal)
Wa East,1008.6646916548822,-0.9050544350542107,10.033010105301557,-2.032835107198274,Upper West,1,Sudan Savannah,Northern (unimodal)
Wa West,983.6371963826733,-0.6195845785099738,9.901332580360885,-2.571833745014714,Upper West,1,Sudan Savannah,Northern (unimodal)
Walewale,982.7309080257112,-0.8175058480766448,10.292639638594132,-0.8309137437735025,North East,1,Sudan Savannah,Northern (unimodal)
Wassa East,1414.1018904206826,1.0028165125778352,5.222672108852536,-1.6030895077610492,Western,3,Forest,Southern (bimodal)
Weija Gbawe,1025.3387772996275,1.0659568443007024,5.561142950028436,-0.3476976783147374,Greater Accra,2,Coastal,Southern (bimodal)
Wenchi,1088.3304913603276,0.7339471932111694,7.735705245503381,-2.1210208070253147,Bono,0,Transition,Transition (middle belt)
Wulensi,1277.9998290674184,0.36980785930012094,8.760546707680858,0.1195543548138902,Northern,4,Guinea Savannah,Northern (unimodal)
Yagaba Kubori,984.6100059573658,-0.810903144247752,10.272493697212616,-1.3547319595636145,North East,1,Sudan Savannah,Northern (unimodal)
Yapei Kusawgu,966.9008591079624,-0.06057783623610625,8.97080575392562,-1.438262060031548,Savannah,4,Guinea Savannah,Northern (unimodal)
Yendi,1180.5486989063943,0.08351095865808957,9.380373617458638,0.0538930519467054,Northern,4,Guinea Savannah,Northern (unimodal)
Yilo Krobo,1239.8937347350138,0.9361057775585367,6.124180677391549,-0.1136535741390901,Eastern,3,Forest,Southern (bimodal)
Yunyoo,986.2398880100961,-0.7633723594839433,10.370447113774627,-0.175190884911742,North East,1,Sudan Savannah,Northern (unimodal)
Zabzugu,1244.0749399391257,0.2855977388533787,9.353235247635617,0.3775571281407648,Northern,4,Guinea Savannah,Northern (unimodal)
Zebilla,952.901582611594,-1.1604821504153853,10.851919089097647,-0.4752758665438805,Upper East,1,Sudan Savannah,Northern (unimodal)
